State,Year,Count,Sheltered,Unsheltered
Alaska,2007-01-01,224,True,True
Alaska,2007-01-01,696,False,True
Alaska,2007-01-01,278,True,False
Alaska,2007-01-01,187,True,True
Alaska,2007-01-01,842,True,False
Alaska,2007-01-01,589,True,True
Alaska,2007-01-01,253,True,False
Alaska,2007-01-01,974,True,True
Alaska,2007-01-01,37,True,True
Alaska,2007-01-01,132,False,True
Alaska,2007-01-01,107,False,True
Alaska,2007-01-01,25,True,True
Alaska,2007-01-01,54,True,True
Alaska,2007-01-01,366,False,True
Alaska,2007-01-01,302,True,False
Alaska,2007-01-01,34,True,True
Alaska,2007-01-01,545,True,False
Alaska,2007-01-01,302,True,True
Alaska,2007-01-01,243,True,False
Alaska,2007-01-01,668,True,True
Alaska,2007-01-01,20,True,True
Alaska,2007-01-01,123,False,True
Alaska,2007-01-01,64,False,True
Alaska,2007-01-01,59,True,True
Alabama,2007-01-01,516,True,True
Alabama,2007-01-01,1529,False,True
Alabama,2007-01-01,575,True,False
Alabama,2007-01-01,269,True,True
Alabama,2007-01-01,1240,True,False
Alabama,2007-01-01,833,True,True
Alabama,2007-01-01,407,True,False
Alabama,2007-01-01,2104,True,True
Alabama,2007-01-01,247,True,True
Alabama,2007-01-01,864,False,True
Alabama,2007-01-01,696,False,True
Alabama,2007-01-01,168,True,True
Alabama,2007-01-01,84,True,True
Alabama,2007-01-01,499,False,True
Alabama,2007-01-01,150,True,False
Alabama,2007-01-01,10,True,True
Alabama,2007-01-01,410,True,False
Alabama,2007-01-01,260,True,True
Alabama,2007-01-01,150,True,False
Alabama,2007-01-01,649,True,True
Alabama,2007-01-01,74,True,True
Alabama,2007-01-01,239,False,True
Alabama,2007-01-01,239,False,True
Alabama,2007-01-01,0,True,True
Alabama,2007-01-01,8,True,True
Alabama,2007-01-01,143,False,True
Alabama,2007-01-01,122,True,False
Alabama,2007-01-01,0,True,True
Alabama,2007-01-01,131,True,False
Alabama,2007-01-01,93,True,True
Alabama,2007-01-01,38,True,False
Alabama,2007-01-01,265,True,True
Alabama,2007-01-01,8,True,True
Alabama,2007-01-01,134,False,True
Alabama,2007-01-01,50,False,True
Alabama,2007-01-01,84,True,True
Alabama,2007-01-01,215,True,True
Alabama,2007-01-01,761,False,True
Alabama,2007-01-01,69,True,False
Alabama,2007-01-01,144,True,True
Alabama,2007-01-01,756,True,False
Alabama,2007-01-01,687,True,True
Alabama,2007-01-01,69,True,False
Alabama,2007-01-01,830,True,True
Alabama,2007-01-01,71,True,True
Alabama,2007-01-01,74,False,True
Alabama,2007-01-01,74,False,True
Alabama,2007-01-01,0,True,True
Alabama,2007-01-01,108,True,True
Alabama,2007-01-01,392,False,True
Alabama,2007-01-01,64,True,False
Alabama,2007-01-01,39,True,True
Alabama,2007-01-01,331,True,False
Alabama,2007-01-01,270,True,True
Alabama,2007-01-01,61,True,False
Alabama,2007-01-01,456,True,True
Alabama,2007-01-01,69,True,True
Alabama,2007-01-01,125,False,True
Alabama,2007-01-01,122,False,True
Alabama,2007-01-01,3,True,True
Alabama,2007-01-01,4,True,True
Alabama,2007-01-01,103,False,True
Alabama,2007-01-01,16,True,False
Alabama,2007-01-01,0,True,True
Alabama,2007-01-01,104,True,False
Alabama,2007-01-01,90,True,True
Alabama,2007-01-01,14,True,False
Alabama,2007-01-01,119,True,True
Alabama,2007-01-01,4,True,True
Alabama,2007-01-01,15,False,True
Alabama,2007-01-01,13,False,True
Alabama,2007-01-01,2,True,True
Alabama,2007-01-01,15,True,True
Alabama,2007-01-01,294,False,True
Alabama,2007-01-01,51,True,False
Alabama,2007-01-01,15,True,True
Alabama,2007-01-01,332,True,False
Alabama,2007-01-01,285,True,True
Alabama,2007-01-01,47,True,False
Alabama,2007-01-01,345,True,True
Alabama,2007-01-01,0,True,True
Alabama,2007-01-01,13,False,True
Alabama,2007-01-01,9,False,True
Alabama,2007-01-01,4,True,True
Alabama,2007-01-01,43,True,True
Alabama,2007-01-01,463,False,True
